identifier;dataset_identifier;SheetContext;ZorDepthBot;RADIO_CalibC14_Notes_simpl;RADIO_CalibC14__yrmax;RADIO_CalibC14__yrmin;RADIO_CalibC14_from_yrmax;RADIO_CalibC14_from_yrmin;RADIO_CalibC14_to_yrmax;RADIO_CalibC14_to_yrmin;RADIO_CalibC14_Method;RADIO_TL_yrmin;RADIO_TL_yrmax;RADIO_TL_Method;RADIO;CAL_From_BP;CAL_To_BP;CALENDAR;PER_Notes;PER_BeginBP;PER_EndBP;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDates;C14_older_than_30000BP;From_Method;To_Method;From_AgeErrorOrPlusError;To_AgeErrorOrPlusError;AgeFrom;AgeTo;ss
Grand Marais de Boussens|COUN001744|S2;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;13065;12750;;;;;CalibC14;;;;True;;;False;;13500;10000;True;12750;13065;;;;;10000;13500;True;;;;;;;;;;;13065;12750;
Grand Marais de Boussens|COUN001744|S3;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S4;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;13155;12785;;;;;CalibC14;;;;True;;;False;;13500;10000;True;12785;13155;;;;;10000;13500;True;;;;;;;;;;;13155;12785;
Grand Marais de Boussens|COUN001744|S5;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S6;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S7;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S8;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S9;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S1;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S10;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S11;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S12;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S13;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S14;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S15;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S16;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S17;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S18;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S2;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S3;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S4;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S5;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S6;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S7;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S8;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S9;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lent|COUN001762|BugsPresence;Lent|COUN001762;Other Palaeo;;;;;;;;;;;;;False;;;False;;122000;10000;True;;;;;;;10000;122000;;;;True;;;;;;;;122000;10000;
Leusden-Den Treek|COUN001733|10;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|11;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|12;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|13;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|14A;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|14B;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|15A;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|15B;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|16A;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|16B;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|17A;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|17B;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|18A;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|18B;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|19A;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|19B;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|20A;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|20B;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|21A;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|21B;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|22;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|23;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|24;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Leusden-Den Treek|COUN001733|9;Leusden-Den Treek|COUN001733;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S1;Logie|COUN001740;Stratigraphic sequence;146;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S10;Logie|COUN001740;Stratigraphic sequence;180;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S11;Logie|COUN001740;Stratigraphic sequence;184;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S12;Logie|COUN001740;Stratigraphic sequence;188;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S13;Logie|COUN001740;Stratigraphic sequence;192;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S14;Logie|COUN001740;Stratigraphic sequence;196;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S15;Logie|COUN001740;Stratigraphic sequence;200;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S16;Logie|COUN001740;Stratigraphic sequence;204;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S17;Logie|COUN001740;Stratigraphic sequence;208;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S18;Logie|COUN001740;Stratigraphic sequence;212;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S19;Logie|COUN001740;Stratigraphic sequence;216;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S2;Logie|COUN001740;Stratigraphic sequence;150;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S20;Logie|COUN001740;Stratigraphic sequence;220;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S21;Logie|COUN001740;Stratigraphic sequence;224;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S22;Logie|COUN001740;Stratigraphic sequence;228;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S23;Logie|COUN001740;Stratigraphic sequence;232;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S24;Logie|COUN001740;Stratigraphic sequence;236;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S25;Logie|COUN001740;Stratigraphic sequence;240;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S3;Logie|COUN001740;Stratigraphic sequence;154;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S4;Logie|COUN001740;Stratigraphic sequence;158;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S5;Logie|COUN001740;Stratigraphic sequence;160;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S6;Logie|COUN001740;Stratigraphic sequence;164;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S7;Logie|COUN001740;Stratigraphic sequence;168;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S8;Logie|COUN001740;Stratigraphic sequence;172;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Logie|COUN001740|S9;Logie|COUN001740;Stratigraphic sequence;176;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Moaness|COUN001711|M1/16;Moaness|COUN001711;Stratigraphic sequence;76;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/17;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/18;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/19;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/20;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/21;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/22;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/23;Moaness|COUN001711;Stratigraphic sequence;111;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/24;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/25;Moaness|COUN001711;Stratigraphic sequence;191;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/26;Moaness|COUN001711;Stratigraphic sequence;196;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/27;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/28;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/29;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/30;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|M1/31;Moaness|COUN001711;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moaness|COUN001711|TP2;Moaness|COUN001711;Stratigraphic sequence;18;C elaphas in upper part of interntidal peat.;;;;;2704;2357;CalibC14;;;;True;;;False;;10000;0;True;2357;;;;;;0;10000;True;;;;;;;;;;;10000;2357;
Moaness|COUN001725|TP1_55;Moaness|COUN001725;Stratigraphic sequence;55;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Moaness|COUN001725|TP1_60;Moaness|COUN001725;Stratigraphic sequence;60;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Moaness|COUN001725|TP1_65;Moaness|COUN001725;Stratigraphic sequence;65;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Moaness|COUN001725|TP1_70;Moaness|COUN001725;Stratigraphic sequence;70;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Moaness|COUN001725|TP1_75;Moaness|COUN001725;Stratigraphic sequence;75;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Moaness|COUN001725|TP1_80;Moaness|COUN001725;Stratigraphic sequence;80;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Moaness|COUN001725|TP1_85;Moaness|COUN001725;Stratigraphic sequence;85;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Moarna|COUN001746|BugsPresence;Moarna|COUN001746;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Moarna|COUN001746|S1;Moarna|COUN001746;Stratigraphic sequence;;;;;;;5995;5610;CalibC14;;;;True;;;False;;10000;0;True;5610;;;;;;0;10000;True;;;;;;;;;;;10000;5610;
Moarna|COUN001746|S2A;Moarna|COUN001746;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moarna|COUN001746|S2B;Moarna|COUN001746;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moarna|COUN001746|S3;Moarna|COUN001746;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moarna|COUN001746|S4;Moarna|COUN001746;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moarna|COUN001746|S5;Moarna|COUN001746;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moarna|COUN001746|S6A;Moarna|COUN001746;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moarna|COUN001746|S6B;Moarna|COUN001746;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Moarna|COUN001746|S7;Moarna|COUN001746;Stratigraphic sequence;;;8980;8430;;;;;CalibC14;;;;True;;;False;;10000;0;True;8430;8980;;;;;0;10000;True;;;;;;;;;;;8980;8430;
Moarna|COUN001746|S8;Moarna|COUN001746;Stratigraphic sequence;;;12610;11655;;;;;CalibC14;;;;True;;;False;;13500;10000;True;11655;12610;;;;;10000;13500;True;;;;;;;;;;;12610;11655;
Newtown|COUN001756|578/270;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|581/288;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|586/285;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|587/276;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|588/283;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|590/275;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|591/280;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|596/273/278;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|600/264;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|603/269;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|603/269a;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|604/258;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|610/259;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|610/278;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|617/275;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|618/260;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|620/179;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Newtown|COUN001756|620/243;Newtown|COUN001756;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
